UC,CC,Labels
UC1.txt,GestioneBeniCulturaliAgenzia.txt,1
UC1.txt,DBBeneCulturale.txt,1
UC1.txt,IDBBeneCulturale.txt,1
UC1.txt,BeniCulturali.txt,1
UC2.txt,DBBeneCulturale.txt,1
UC2.txt,IGestioneBeniCulturaliAgenzia.txt,1
UC2.txt,GestioneBeniCulturaliAgenzia.txt,1
UC2.txt,ControlloBeniCulturali.txt,1
UC2.txt,BeanBeneCulturale.txt,1
UC2.txt,BeniCulturali.txt,1
UC3.txt,DBBeneCulturale.txt,1
UC3.txt,IGestioneBeniCulturaliAgenzia.txt,1
UC3.txt,GestioneBeniCulturaliAgenzia.txt,1
UC3.txt,ControlloBeniCulturali.txt,1
UC3.txt,BeanBeneCulturale.txt,1
UC3.txt,BeniCulturali.txt,1
UC4.txt,DBBeneCulturale.txt,1
UC4.txt,IGestioneBeniCulturaliAgenzia.txt,1
UC4.txt,GestioneBeniCulturaliAgenzia.txt,1
UC4.txt,Ricerca.txt,1
UC4.txt,RicercaStandard.txt,1
UC4.txt,RicercaAvanzata.txt,1
UC4.txt,BeanBeneCulturale.txt,1
UC4.txt,IRicerca.txt,1
UC4.txt,BeniCulturali.txt,1
UC5.txt,BeanBeneCulturale.txt,1
UC5.txt,IGestioneBeniCulturaliComune.txt,1
UC5.txt,GestioneBeniCulturaliComune.txt,1
UC5.txt,BeniCulturali.txt,1
UC6.txt,DBPuntoDiRistoro.txt,1
UC6.txt,GestionePuntiDiRistoroAgenzia.txt,1
UC6.txt,IGestionePuntiDiRistoroAgenzia.txt,1
UC7.txt,IDBConvenzione.txt,1
UC7.txt,GestionePuntiDiRistoroAgenzia.txt,1
UC7.txt,IGestionePuntiDiRistoroAgenzia.txt,1
UC7.txt,BeanConvenzione.txt,1
UC8.txt,DBPuntoDiRistoro.txt,1
UC8.txt,GestionePuntiDiRistoroAgenzia.txt,1
UC8.txt,IGestionePuntiDiRistoroAgenzia.txt,1
UC8.txt,ControlloDati.txt,1
UC8.txt,BeanPuntoDiRistoro.txt,1
UC9.txt,DBPuntoDiRistoro.txt,1
UC9.txt,GestionePuntiDiRistoroAgenzia.txt,1
UC9.txt,IGestionePuntiDiRistoroAgenzia.txt,1
UC9.txt,Ricerca.txt,1
UC9.txt,RicercaStandard.txt,1
UC9.txt,RicercaAvanzata.txt,1
UC9.txt,BeanPuntoDiRistoro.txt,1
UC9.txt,IRicerca.txt,1
UC10.txt,BeanPuntoDiRistoro.txt,1
UC10.txt,IGestionePuntiDiRistoroComune.txt,1
UC10.txt,GestionePuntiDiRistoroComune.txt,1
UC10.txt,IDBPuntoDiRistoro.txt,1
UC10.txt,DBPuntoDiRistoro.txt,1
UC10.txt,GestionePuntiDiRistoroAgenzia.txt,1
UC10.txt,IGestionePuntiDiRistoroAgenzia.txt,1
UC11.txt,IDBConvenzione.txt,1
UC11.txt,BeanConvenzione.txt,1
UC12.txt,Turisti.txt,1
UC12.txt,TuristiTableModel.txt,1
UC12.txt,BeanTurista.txt,1
UC12.txt,GestioneTuristaComune.txt,1
UC13.txt,IGestioneTuristiAgenzia.txt,1
UC13.txt,Turisti.txt,1
UC13.txt,DBTurista.txt,1
UC13.txt,IDBTurista.txt,1
UC13.txt,BeanTurista.txt,1
UC14.txt,IDBTurista.txt,1
UC14.txt,GestioneTuristiAgenzia.txt,1
UC14.txt,IGestioneTuristiAgenzia.txt,1
UC14.txt,RicercaAvanzata.txt,1
UC14.txt,BeanTurista.txt,1
UC15.txt,IDBTurista.txt,1
UC15.txt,GestioneTuristiAgenzia.txt,1
UC15.txt,IGestioneTuristiAgenzia.txt,1
UC15.txt,ControlloDati.txt,1
UC15.txt,BeanTurista.txt,1
UC15.txt,GestioneTuristaComune.txt,1
UC16.txt,IDBTurista.txt,1
UC16.txt,GestioneTuristiAgenzia.txt,1
UC16.txt,IGestioneTuristiAgenzia.txt,1
UC16.txt,BeanTurista.txt,1
UC17.txt,BannerNode.txt,1
UC17.txt,ControlloDati.txt,1
UC17.txt,IDBBanner.txt,1
UC17.txt,DBBanner.txt,1
UC17.txt,BeanBanner.txt,1
UC17.txt,IGestioneAdvertisement.txt,1
UC17.txt,GestioneAdvertisement.txt,1
UC17.txt,GestioneAdvertisementAgenzia.txt,1
UC17.txt,IGestioneAdvertisementAgenzia.txt,1
UC17.txt,ControlloDatiAdvertisement.txt,1
UC17.txt,CostantiGlobali.txt,1
UC17.txt,Banner.txt,1
UC18.txt,IGestioneAdvertisement.txt,1
UC18.txt,IDBBanner.txt,1
UC18.txt,DBBanner.txt,1
UC18.txt,BeanBanner.txt,1
UC18.txt,MessaggiErrore.txt,1
UC19.txt,DBBanner.txt,1
UC19.txt,GestioneAdvertisement.txt,1
UC19.txt,IGestioneAdvertisement.txt,1
UC19.txt,BeanBanner.txt,1
UC19.txt,GestioneAdvertisementAgenzia.txt,1
UC19.txt,IGestioneAdvertisementAgenzia.txt,1
UC19.txt,ControlloDatiAdvertisement.txt,1
UC19.txt,CostantiGlobali.txt,1
UC19.txt,Banner.txt,1
UC20.txt,BannerNode.txt,1
UC20.txt,ControlloDati.txt,1
UC20.txt,IDBBanner.txt,1
UC20.txt,DBBanner.txt,1
UC20.txt,GestioneAdvertisement.txt,1
UC20.txt,IGestioneAdvertisement.txt,1
UC20.txt,BeanBanner.txt,1
UC20.txt,GestioneAdvertisementAgenzia.txt,1
UC20.txt,IGestioneAdvertisementAgenzia.txt,1
UC20.txt,ControlloDatiAdvertisement.txt,1
UC20.txt,CostantiGlobali.txt,1
UC20.txt,Banner.txt,1
UC21.txt,IDBNews.txt,1
UC21.txt,GestioneAdvertisementAgenzia.txt,1
UC21.txt,IGestioneAdvertisementAgenzia.txt,1
UC21.txt,News.txt,1
UC21.txt,ControlloDati.txt,1
UC21.txt,BeanNews.txt,1
UC21.txt,ControlloDatiAdvertisement.txt,1
UC22.txt,IDBNews.txt,1
UC22.txt,GestioneAdvertisementAgenzia.txt,1
UC22.txt,IGestioneAdvertisementAgenzia.txt,1
UC22.txt,BeanNews.txt,1
UC22.txt,ControlloDatiAdvertisement.txt,1
UC23.txt,IDBNews.txt,1
UC23.txt,GestioneAdvertisementAgenzia.txt,1
UC23.txt,IGestioneAdvertisementAgenzia.txt,1
UC23.txt,News.txt,1
UC23.txt,ControlloDati.txt,1
UC23.txt,BeanNews.txt,1
UC23.txt,ControlloDatiAdvertisement.txt,1
UC24.txt,IGestioneBeniCulturaliAgenzia.txt,1
UC24.txt,GestionePuntiDiRistoroAgenzia.txt,1
UC24.txt,IGestionePuntiDiRistoroAgenzia.txt,1
UC24.txt,GestioneBeniCulturaliComune.txt,1
UC24.txt,GestionePuntiDiRistoroComune.txt,1
UC24.txt,IGestionePuntiDiRistoroComune.txt,1
UC24.txt,IGestioneBeniCulturaliComune.txt,1
UC24.txt,FeedBackTableModel.txt,1
UC24.txt,GestioneTuristiAgenzia.txt,1
UC24.txt,IGestioneTuristiAgenzia.txt,1
UC25.txt,GestionePuntiDiRistoroComune.txt,1
UC25.txt,GestioneBeniCulturaliAgenzia.txt,1
UC25.txt,IGestioneBeniCulturaliComune.txt,1
UC26.txt,BeanVisitaPR.txt,1
UC26.txt,FeedBackTableModel.txt,1
UC27.txt,IRicerca.txt,1
UC28.txt,IDBTag.txt,1
UC28.txt,GestioneTagOperatoreAgenzia.txt,1
UC28.txt,IGestioneTagOperatoreAgenzia.txt,1
UC28.txt,TAGTableModel.txt,1
UC28.txt,BeanTag.txt,1
UC29.txt,GestioneTagOperatoreAgenzia.txt,1
UC30.txt,GestioneTagOperatoreAgenzia.txt,1
UC30.txt,DBTag.txt,1
UC30.txt,IDBTag.txt,1
UC30.txt,BeanTag.txt,1
UC31.txt,DBOperatoreAgenzia.txt,1
UC31.txt,OperatoreAgenzia.txt,1
UC31.txt,IDBOperatoreAgenzia.txt,1
UC32.txt,DBOperatoreAgenzia.txt,1
UC32.txt,OperatoreAgenzia.txt,1
UC33.txt,ControlloDati.txt,1
UC33.txt,IDBTurista.txt,1
UC33.txt,DBTurista.txt,1
UC33.txt,IGestioneTuristaClient.txt,1
UC33.txt,GestioneTuristaClient.txt,1
UC33.txt,SchedaTurista.txt,1
UC34.txt,IRicerca.txt,1
UC34.txt,GestioneBeniCulturaliComune.txt,1
UC34.txt,IGestioneBeniCulturaliComune.txt,1
UC34.txt,IGestionePuntiDiRistoroComune.txt,1
UC34.txt,GestionePuntiDiRistoroComune.txt,1
UC35.txt,IAutenticazione.txt,1
UC35.txt,ControlloDati.txt,1
UC35.txt,BeanTurista.txt,1
UC35.txt,BeanOperatorePuntoDiRistoro.txt,1
UC36.txt,IAutenticazione.txt,1
UC36.txt,ControlloDati.txt,1
UC38.txt,IDBBanner.txt,1
UC38.txt,GestioneAdvertisementPuntoDiRistoro.txt,1
UC38.txt,IGestioneAdvertisementPuntoDiRistoro.txt,1
UC38.txt,ControlloDati.txt,1
UC38.txt,BannerDialog.txt,1
UC38.txt,BannerNode.txt,1
UC38.txt,BeanBanner.txt,1
UC38.txt,IGestioneAdvertisement.txt,1
UC38.txt,GestioneAdvertisement.txt,1
UC38.txt,ControlloDatiAdvertisement.txt,1
UC39.txt,IDBBanner.txt,1
UC39.txt,GestioneAdvertisementPuntoDiRistoro.txt,1
UC39.txt,IGestioneAdvertisementPuntoDiRistoro.txt,1
UC39.txt,ControlloDati.txt,1
UC39.txt,BannerDialog.txt,1
UC39.txt,BannerNode.txt,1
UC39.txt,BeanBanner.txt,1
UC39.txt,IGestioneAdvertisement.txt,1
UC39.txt,GestioneAdvertisement.txt,1
UC39.txt,ControlloDatiAdvertisement.txt,1
UC40.txt,IDBBanner.txt,1
UC40.txt,GestioneAdvertisementPuntoDiRistoro.txt,1
UC40.txt,IGestioneAdvertisementPuntoDiRistoro.txt,1
UC40.txt,BeanBanner.txt,1
UC40.txt,IGestioneAdvertisement.txt,1
UC40.txt,GestioneAdvertisement.txt,1
UC40.txt,ControlloDatiAdvertisement.txt,1
UC41.txt,DBMenu.txt,1
UC41.txt,IDBMenu.txt,1
UC41.txt,DBPiatto.txt,1
UC41.txt,IDBPiatto.txt,1
UC41.txt,BeanMenu.txt,1
UC41.txt,BeanPiatto.txt,1
UC42.txt,DBMenu.txt,1
UC42.txt,IDBMenu.txt,1
UC42.txt,DBPiatto.txt,1
UC42.txt,IDBPiatto.txt,1
UC42.txt,BeanMenu.txt,1
UC42.txt,BeanPiatto.txt,1
UC43.txt,IDBPuntoDiRistoro.txt,1
UC43.txt,ControlloDati.txt,1
UC43.txt,PuntiDiRistoro.txt,1
UC43.txt,BeanPuntoDiRistoro.txt,1
UC43.txt,IGestionePuntiDiRistoroComune.txt,1
UC43.txt,GestionePuntiDiRistoroComune.txt,1
UC43.txt,PRNode.txt,1
UC44.txt,ControlloDati.txt,1
UC44.txt,IDBConvenzione.txt,1
UC44.txt,BeanConvenzione.txt,1
UC45.txt,GestionePuntiDiRistoroComune.txt,1
UC45.txt,IGestionePuntiDiRistoroComune.txt,1
UC45.txt,BeanPuntoDiRistoro.txt,1
UC45.txt,BeanBeneCulturale.txt,1
UC46.txt,DBPreferenzeDiRicerca.txt,1
UC46.txt,IDBPreferenzeDiRicerca.txt,1
UC46.txt,GestioneTuristaComune.txt,1
UC46.txt,BeanPreferenzaDiRicerca.txt,1
UC46.txt,IDBPreferenzeGeneriche.txt,1
UC46.txt,DBPreferenzeGeneriche.txt,1
UC47.txt,DBTurista.txt,1
UC47.txt,IDBTurista.txt,1
UC47.txt,GestioneTuristaClient.txt,1
UC47.txt,IGestioneTuristaClient.txt,1
UC47.txt,GestioneTuristaComune.txt,1
UC47.txt,SchedaTurista.txt,1
UC47.txt,BeanTurista.txt,1
UC48.txt,DBPreferenzeGeneriche.txt,1
UC48.txt,IDBPreferenzeGeneriche.txt,1
UC48.txt,GestioneTuristaClient.txt,1
